Criterion ID,Criterion name,Relevance based on use case parametrization,Evaluation requirement,Evaluation principle,Supportive guidance,Evaluation method,Evaluation tools,Reference to EU AI Act
GOV-05,Impact on IP rights,Always relevant. ,All possibilities for potential impact on IP rights shall be considered and documented. ,Document-based ,"Supplementary Definitions 
IP (Intellectual property): 
Concerns content that is subject to copyright, trademark, or patent protection. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Considerations for potontial impact on IP rights are ownership, licensing, copyright, patents, 
trademarks, and trade secrets throughout the lifecycle of the system. ","Verify that an analysis for possible IP right infringements has been performed. 
Evaluate if appropriate measures against the possible infringements have been taken. ","Not applicable. 
112 ","- 9 Risk Management System 
- 17 Quality Management System (QMS) 
113 "
GOV-06,System description/User guidance,Always relevant. ,A system description shall be created and made available to the user. ,Document-based ,"Supplementary Definitions 
System description: 
A detailed document ensuring transparency and ease of understanding. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
The system description should include e.g.,: 
- System overview: brief introduction to the system, purpose and intended use cases, key fea­
tures and functionalities 
- Technical Architecture: Description of the used infrastructure, components of the system, 
technologies and frameworks used 
- User interface description 
- User instructions: instructions on how to use the system, examples of input data and expected 
outputs 
- Troubleshooting and FAQs 
-Data Management: information on data input formats and sources, data storage, security mea­
sures, and privacy considerations 
114 
- System limitations 
- System evaluations: Levels of performance, Performance metrics used, Bias detection metrics 
used, detected Biases that are considered critical for functionality 
- Compliance and ethical considerations ","Verify that a system description including relevant aspects regarding the system is in place and 
made available to the user. ",Not applicable. ,"- 11 Technical Documentation 
- 13 Transparency and provision of information to deployers 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
115 "
GOV-07,Qualitative description of system,Always relevant. ,TheAI system and it’s intended purpose shall be described including relevant qualitative aspects. ,Document-based ,"Supplementary Definitions 
Intended purpose: 
The specific goal or function that the system is designed to achieve. It defines why something 
was created or implemented and what outcomes are expected from its use. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
The AI system and its intended purpose are clearly documented to ensure a comprehensive un­
derstanding. 
Relevant qualitative aspects to consider in the documentation: 
- Intended function/purpose; 
- User group; 
- The user’s existing skills; 
- The user’s needs; 
- Needed user’s competency; 
- The user’s potential interaction with the system; 
- Business function; 
116 
- The system’s impacts on critical functions and activities of the organization; 
- Specific risks of harm that can have an impact on natural persons; 
- Implemented human oversight measures; 
- Arrangements for internal governance; 
- Established complaint mechanisms. ","Verify that a complete and comprehensive description of the AI system is provided. Including its 
intended function/purpose, the user group, user’s competences, etc.. See supportive guidance 
for more information. ",Not applicable. ,"- 11 Technical Documentation 
- 13 Transparency and provision of information to deployers 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
117 "
GOV-08,Alternatives to ML approach,Always relevant. ,"The alternatives to AI shall be listed and evaluated regarding utility, security, and performance. 
The superiority of ML methods shall be justified while taking its associated risks into account. ",Document-based ,"Supplementary Definitions 
Machine Learning (ML): 
A type of AI where systems learn from data to make predictions or decisions without explicit 
programming. It includes methods like supervised, unsupervised, and reinforcement learning. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Alternatives to ML can, e.g., be rule-based systems, statistical methods, optimization algorithms, 
hardcoded algorithms, heuristic methods, simulation methods, human decision-making. 
Considerations should be given at least to: 
- Utility; 
- Security; 
- Performance. ","Verify that an analysis was performed to identify and compare possible alternatives to AI. 
118 ",Not applicable. ,"- 9 Risk Management System 
- 17 Quality Management System (QMS) 
119 "
GOV-09,Catalogue of AI services and tools,Always relevant. ,"An asset inventory including all internally developed, external or third-party solutions shall be 
conducted for the overall system. ",Document-based ,"Supplementary Definitions 
Asset inventory: 
A detailed list of all resources, components, or items owned or used within a system. It includes 
physical assets, software, data, and third-party solutions. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
The information provided for each module should include at least: 
- Its core application area; 
- Its use; 
- Its appearance 
in the overall system. 
Tools which could be used for implementation: 
SBOM generation tools: 
- Syft 
- SPDX 
120 
- CycloneDX 
Code dependency Tracker: 
- dependency-track ","Verify that the asset inventory contains all relevant information, see supportive guidance. ",Not applicable. ,"- 11 Technical Documentation 
- 13 Transparency and provision of information to deployers 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
121 "
GOV-10,Impact Analysis for ML model inventory,Always relevant. ,"For each asset in the ML model inventory, an impact analysis shall be performed to determine 
the impact if the model is compromised. ",Document-based ,"Supplementary Definitions 
Impact analysis: 
An assessment of how changes or risks affect a system’s functionality, security, and performance, 
helping identify risks and plan mitigations. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Possible impacts include: 
- Data breaches; 
- Model manipulation; 
- Operational disruption; 
- Financial loss ","Verify that each asset in the ML model inventory has been assessed with an impact analysis for 
the event of a compromised model. 
122 ",Not applicable. ,"- 9 Risk Management System 
- 17 Quality Management System (QMS) 
123 "
GOV-11,Human resource competencies,Always relevant. ,"Information on all persons involved in the life cycles of the AI system shall be documented. 
Their competencies shall be ensured and documented through the necessary qualifications and 
trainings. ",Document-based ,"Supplementary Definitions 
Life cycle: 
The process from design and development through deployment, operation, and eventual de­
commissioning. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Involved personnel includes, among others, the people who 
- have participated in the various stages of development, deployment, operation, change man­
agement, maintenance, transfer and decommissioning, continuous improvement of the AI sys­
tem, as well as verification and integration of the AI system; 
- are involved in the decision-making process (e.g. in the form of human-in-the-loop, human­
on-the-loop, human-in-command). 
124 ","The necessary (personnel) roles for the AI lifecycle are defined including their necessary qualifi­
cation. 
Assess whether the personnel has the necessary qualifications corresponding to their role, e.g. 
by reviewing certificates, project experiences or evidence for related trainings. ",Not applicable. ,"- 4 AI literacy 
- 17 Quality Management System (QMS) 
- 26 Obligations of deployers of high-risk AI systems 
125 "
GOV-12,Allocation of responsibilities among all involved parties,Always relevant. ,"It shall be ensured that and documented how responsibilities within the life cycle of the AI sys­
tem are allocated between the organization, its partners, suppliers, customers and third parties. ",Document-based ,"Supplementary Definitions 
Life cycle: 
The process from design and development through deployment, operation, and eventual de­
commissioning. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Defining roles and responsibilities is critical for ensuring accountability throughout the organi­
zation for its role with respect to the AI system throughout its life cycle. 
Examples of areas that can require defined roles and responsibilities can include: 
- Risk management; 
- AI system impact assessments; 
- Asset and resource management; 
- Security; 
- Safety; 
- Privacy; 
126 
- Development; 
- Performance; 
- Human oversight; 
- Supplier relationships; 
- Demonstrate its ability to consistently fulfil legal requirements; 
- Data quality management (during the whole life cycle). ","Verify that all involved stakeholders in the full AI lifecycle are identified. 
Assess whether their responsibilities are clearly described and communicated. ",Not applicable. ,"- 17 Quality Management System (QMS) 
- 25 Responsibilities along the AI value chain 
127 "
GOV-13,AI security awareness training,Always relevant. ,"Educational initiatives and practical exercises to enhance cybersecurity skills and raise aware­
ness about risks along the entire lifecycle and supply chain of the AI systems for all AI stakehold­
ers shall be conducted. ",Document-based ,"Supplementary Definitions 
Supply chain: 
The network of entities and processes involved in creating, delivering, and maintaining a sys­
tem. 
Life cycle: 
The process from design and development through deployment, operation, and eventual de­
commissioning. 
Exemplary [parameters] 
Not applicableAdditional guidance regarding the requirement
Relevant parties should have been identified in GOV-12. 
Educationak initiatives include, e.g., Workshops and training sessions (internal or external), cer­
tification programs and cybersecurity awareness campaigns. 
In addition, practical exercises can be, e.g., phishing simulations, incident response drills, pene­
tratin testing labs, data recovery scenarios and secure coding challanges. 
128 ","Verify that AI stakeholders are educated with initiatives and practical exercises to enhance cy­
bersecurity skills throughout the AI lifecycle. ",Not applicable. ,"- 4 AI literacy 
- 26 Obligations of deployers of high-risk AI systems 
129 
Human Oversight 
Contents 
HO-04 -Attribution of ethical and legal responsibility in AI system lifecycle . . . 137 
130 "
HO-01,Human oversight,Always relevant. ,The system shall be monitored through human oversight. ,Test-based ,"Supplementary Definitions 
Human oversight: 
The process in which humans closely monitor AI systems and intervene when necessary to en­
sure safe, ethical, and compliant operations. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Especially meaningful decisions that have a direct impact on people should include effective 
human oversight. 
Human oversight can help with detecting anomalies beyond automation, responding in un­
foreseen scenarios, contextual decision-making, improving system performance and providing 
accountability. ","Verify that a process is in place for a human to monitor the system. 
131 ","- Simul8 - can be used to simulate real-world AI system operations and assess the effectiveness 
of human oversight in responding to anomalies and unforeseen scenarios. ","- 13 Transparency and provision of information to deployers 
- 14 Human oversight 
- 26 Obligations of deployers of high-risk AI systems 
132 "
HO-02,Modification of automated decisions,• The AI system operates autonomously with no human oversight (Q9) ,"In the case of automated decision-making, [procedures] shall be put in place to allow authorized 
personnel and/or users of the AI service to override the system. ",Test-based ,"Supplementary Definitions 
Override the system: 
Update or modify decisions or completely stop the operation of the system. 
Exemplary [parameters] 
[Procedures]: e.g., 
- Clear Escalation Paths; 
- Incident Reporting Systems; 
- Manual Override Buttons; 
- Fail-Safe Triggers 
Additional guidance regarding the requirement 
Ensuring authorized personnel can override AI systems is critical to mitigate risks and prevent 
harm caused by incorrect or unforeseen decisions. Overrides enable human judgment in com­
plex or high-stakes scenarios, ensuring fairness, safety, and compliance with regulations like 
GDPR. They also build trust and transparency by providing a safeguard against biases, malfunc­
tions, or failures in automated systems. 
133 ","Verify that a procedure is in place to override the system if necessary. Ensure that only autho­
rized persons are able to perform the procedure. ","- OWASP ZAP - can be used to test access control vulnerabilities and ensure that override mech­
anisms cannot be misused or bypassed by unauthorized users. 
- Metasploit - can be used to perform penetration testing on manual override systems, escala­
tion paths, and fail-safe triggers to identify security gaps.) 
-Burp Suite -can be used to analyze and validate API security, ensuring that override commands 
function correctly and securely. 
- Gremlin - chaos testing can be used to simulate system failures and validate whether override 
mechanisms function effectively under real-world stress conditions. ","- 13 Transparency and provision of information to deployers 
- 14 Human oversight 
- 26 Obligations of deployers of high-risk AI systems 
134 "
HO-03,Monitoring of oversight and overriding processes,• The AI system operates autonomously with no human oversight (Q9) ,"There should be clear specification and documentation of individuals that are authorized to 
override decisions made by the system. ",Document-based ,"Supplementary Definitions 
Override the system: 
Update or modify decisions or completely stop the operation of the system. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Considerations should be given to: 
- Potential biases that may result from this arrangement; 
- Only authorized persons should have the ability to correct outputs based on their roles and 
responsibilities; 
- Observation mechanisms to observe project team members who can oversee and override AI 
system decisions; 
- Access removal controls should be in place to quickly revoke individual access. 
135 ","Verify that the documentation contains the specification about people who are authorized to 
override the decision made by the system. ",Not applicable. ,"- 13 Transparency and provision of information to deployers 
- 14 Human oversight 
- 26 Obligations of deployers of high-risk AI systems 
136 "
HO-04,Attribution of ethical and legal responsibility in AI system lifecycle,Always relevant. ,"At all stages of the AI system’s lifecycle, the physical persons or existing legal entities holding 
ethical and legal responsibility shall be clearly identified, listed and documented. ",Document-based ,"Supplementary Definitions 
Life cycle: 
The process from design and development through deployment, operation, and eventual de­
commissioning. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Specific individuals or entities bearing such responsibilitywithin the project team shall be clearly 
identified. 
A suitable way to document could be a RACI chart (who is responsible, who is accountable, who 
should be consulted, and who should be informed) ","Verify that the physical persons or legal entities are determined and documented throughout 
all stages of the AI cycle. 
137 ",Not applicable. ,"- 17 Quality Management System (QMS) 
138 
IT-Security 
Contents 
ITSEC-07 -Availability and disaster recovery . . . . . . . . . . . . . . . . . . . . . . 152 
ITSEC-12 -Authorization and access control . . . . . . . . . . . . . . . . . . . . . . 162 
139 "
ITSEC-01,Common standards and frameworks for privacy impact,Always relevant. ,"Common standards, frameworks and best practices for PIA (privacy impact analysis) should be 
considered. ",Document-based ,"Supplementary Definitions 
Privacy Impact Analysis (PIA): 
A systematic process to identify, assess, and mitigate risks to individuals’ privacy posed by a sys­
tem. It evaluates how personal data is collected, stored, processed, and shared, ensuring compli­
ance with data protection laws and safeguarding individuals’ rights 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Relevant standards (among others) are: 
- ISO/IEC 29134 
- ISO/IEC 27001 
- NIST Privacy Framework 
- General Data Protection Regulation (GDPR) 
Relevant frameworks and practices (among others) could be: 
- GDPR DPIA Guidance 
- OECD Guidelines on Privacy 
140 ","Verify that a PIA is carried out taking into account common standards, frameworks and best 
practices, see supportive guidance for relevant standards. ",Not applicable. ,"- 10 Data and data governance 
- 17 Quality Management System (QMS) 
- 26 Obligations of deployers of high-risk AI systems 
141 "
ITSEC-02,Supply chain security,Always relevant. ,"The supply chain involved in the development shall be analyzed for potential security weak­
nesses, ensuring all components and dependencies are secure. ",Document-based ,"Supplementary Definitions 
Supply chain: 
The network of entities and processes involved in creating, delivering, and maintaining a system. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
This should also include a verification process for all SOUP (Software of Unknown Provenance) 
or OTS (Off-The-Shelf) components. 
Tools which could be used during implementation: 
- Snyk 
- OWASP Dependency-Check 
- Black Duck 
- WhiteSource 
142 ","Verify that the supply chain is analyzed for potential security weaknesses. Ensure that the anal­
ysis includes all SOUP or OTS components. ",Not applicable. ,"- 9 Risk Management System 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
143 "
ITSEC-03,Risks from unspecified usage environments and users,Always relevant. ,"The risks arising from unspecified usage environments and non-specified users shall be ana­
lyzed. ",Document-based ,"Supplementary Definitions 
Unspecified Usage Environments: 
Physical or operational settings that are not explicitly defined. 
Non-Specified Users: 
Individuals who are either untrained or lack proper authorization to access the system. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Potential risks are: 
- Misuse of the system; 
- Security risks; 
- Safety concerns; 
- Regulatory non-compliance; 
- Bias or discrimination 
144 ","Verify that the different types of risk that could arise from unspecified usage environments are 
analysed. ",Not applicable. ,"- 9 Risk Management System 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
145 "
ITSEC-04,Secure GenAI-App integration,Always relevant. ,"Connections with existing systems and databases shall be safeguarded with secure integrations 
at all AI system interfaces. ",Document-based ,"Supplementary Definitions 
System interfaces: 
Points of interaction where a system communicates with other systems, applications, or users. 
Secure Integrations: 
The process of safely connecting systems or components to ensure data integrity, confidential­
ity, and functionality. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
System interfaces can be: 
- LLM trust boundaries 
- User Interface 
- Hardware Interfaces 
- Webhooks 
- Input/Output Interfaces 
Secure integration could be: 
146 
- Encryptied data transfer 
- API security 
- Firewalls and network segmentation 
- Endpoint security ","Verify that secure integrations are in place to protect connections between the AI system and 
other existing systems or databases. ",Not applicable. ,"- 9 Risk Management System 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
147 "
ITSEC-05,Conventional network security protection,Always relevant. ,The network shall be protected by conventional IT security [measures]. ,Test-based ,"Supplementary Definitions 
Conventional IT security: 
Traditional methods and practices for protecting systems, data, and infrastructure from unau­
thorized access, misuse, or harm. 
Exemplary [parameters] 
[measures]: e.g., Firewalls, virtual private networks, network segmentation, access control. 
Additional guidance regarding the requirement 
A protected network is important to maintain data confidentioality and garnatee operational 
continuity along with cost reduction in the sense of mitigation financial loss due to e.g., data 
breachers, ransomware or downtime. 
Possible attacks and threats include e.g. Malware, Phishing attacks, ransomware, (distributed) 
denial of service, unauthorized acess. 
Tools that can be used for the implementation: 
- Intrusion Detection System (IDS) 
- Firewall 
- Network Access Control (NAC) 
- Security Information and Event Management (SIEM) 
148 ","Verify that the network is protected by classical IT security measures, e.g., via access control, 
maleware detection mechanisms, security incident management, etc. ","- nmap - can be used to scan for open ports, detect misconfigurations, and identify potential 
attack vectors in the network. 
- Nessus - can be used for vulnerability scanning to detect security gaps, outdated software, and 
misconfigured security controls. 
- Wireshark - can be used to analyze network traffic and detect anomalies that could indicate 
security threats such as unauthorized access or malware communication. ","- 9 Risk Management System 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
149 "
ITSEC-06,Gateway controls,Always relevant. ,"[Mechanisms] shall be sufficiently implemented and documented to enable a graduated set of 
controls. ",Document-based ,"Supplementary Definitions 
Graduated set of controls: 
Security measures that were implemented in layers or tiers. 
Exemplary [parameters] 
[mechanisms]: e.g. Secure gateway, VPN, and routing for machine learning systems. 
Additional guidance regarding the requirement 
Possible levels are: 
- risk levels 
- sensitivity of the system or data 
- criticality of the system or data ","Verify that the security mechanisms specified in the supportive guidance are adequately imple­
mented and documented. 
150 ",Not applicable. ,"- 11 Technical Documentation 
- 13 Transparency and provision of information to deployers 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
- 26 Obligations of deployers of high-risk AI systems 
151 "
ITSEC-07,Availability and disaster recovery,Always relevant. ,"TheAI system shall comply with the defined availability standards for its IT infrastructure, appli­
cations and data. It should also have suitable [emergency plans] in place to restore the AI system 
and the model in the event of a failure. ",Document-based ,"Supplementary Definitions 
Event of a failure: 
An incident where a system, component, or process does not perform as intended, leading to 
disrupted functionality, reduced performance, or complete inoperability. Common types of 
failures include hardware failures, software failures, security failures, network failures or data 
failures. Emergency plans shall explicitly cover scenarios in which externally hosted or third­
partyAI model providers become unavailable or terminate their service. Contingency measures 
may include hot-swap to an alternative provider, activation of a locally hosted fallback model. 
Exemplary [parameters] 
[emergency plans]: e.g. Backup plans. 
Additional guidance regarding the requirement 
Relevant standards (among others) could be: 
- ISO/IEC 27001 
- NIST Cybersecurity Framework 
- CIS Controls 
- Risk Management Framework 
152 ","Verify that the AI system meets the defined availability standards for its IT infrastructure. Ensure 
that a process is in place to restore the AI system and model in the event of a failure, such as a 
backup plan. ",Not applicable. ,"- 9 Risk Management System 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
153 "
ITSEC-08,System availability assessment,Always relevant. ,"The availability of the AI system shall be constantly evaluated with [suitable methods] and doc­
umented. ",Document-based ,"Supplementary Definitions 
Availability: 
Ability of a system, to remain accessible and operational for authorized users whenever needed. 
Exemplary [parameters] 
[suitable methods]: Uptime monitoring, latency monitoring, throughput monitoring, error rate 
monitoring, stress testing, scalability checks, maintenance scheduling, system health checks. 
Additional guidance regarding the requirement 
A high availability rate will improve business reputation, increase user satisfaction and build 
competitive advantage. Downtime of the system can lead to disrupt workflows, delay processes, 
and halt critical services, which can directly or indirectly lead to financial losses. A high avail­
ability rate is also required to be compliant with many legal and regulatory standards. 
Tools which could be used for the implementation: 
Uptime Monitoring Tools to check logs, historical uptime data, and alerts to ensure that moni­
toring is in place and functioning correctly: Nagios 
Chaos Engineering Tools to inject faults into the system to test the suitable methods: Gremlin, 
Metasploit 
154 ","Verify that a procedure is in place to evaluate the availability of the system. This can include 
monitoring tools that monitor system properties related to the relevant business assets related 
to the system. In order to test the procedure, a stress test, causing the system to be unavailable 
shall be conducted and the reaction shall be evaluated. ",Not applicable. ,"- 9 Risk Management System 
- 11 Technical documentation 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
155 "
ITSEC-09,Infrastructure security evaluation,Always relevant. ,"Resilience testing shall be performed with [suitable techniques] to ensure that systems can with­
stand and recover from disruptions. ",Test-based ,"Supplementary Definitions 
Disruptions: 
For example server crashes, network outages, high traffic or load, hardware failures, power fail­
ures etc. 
Exemplary [parameters] 
[suitable techniques]: e.g., Fault injection, failover testing, load and stress testing. 
Additional guidance regarding the requirement 
A measurement for resilience can be Performance. ","Verify that resilience testing is carried out. Check that appropriate techniques, see supportive 
guidance, are implemented correctly by ensuring if the system can withstand and recover from 
disruptions. 
156 ","-Chaos Monkey -can be used to randomly terminate system instances and evaluate the system’s 
ability to handle unexpected failures. 
- Gremlin - can be used to conduct controlled fault injection and assess system resilience under 
various failure scenarios. 
- Failure Injection Testing - can be used to simulate infrastructure-level failures and analyze 
system response and recovery strategies. ","- 9 Risk Management System 
- 10 Data and data governance 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
157 "
ITSEC-10,Data classification and protection based on sensitivity,Always relevant. ,"Data must be classified and protected based on its sensitivity. User permissions must be man­
aged effectively, and appropriate safeguards must be in place to ensure that access controls and 
defense-in-depth measures are robust. ",Document-based ,"Supplementary Definitions 
Sensitive data: 
Information that requires extra protection due to its potential to cause harm if accessed or dis­
closed without authorization, e.g. presonal or biometric data. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Appropriate safeguards can be: 
- Role-based access crontrol (RBAC) 
- Session management 
- Encryption 
- Physical Security 
158 ","Verify if appropriate measures for the classification of sensitive data are in place. Furthermore, 
verify that protective measure to safeguard the sensitive data are in place and test their func­
tionality. ",Not applicable. ,"- 10 Data and data governance 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
159 "
ITSEC-11,Ensuring data authenticity,Always relevant. ,The system shall ensure the authenticity of data. ,Test-based ,"Supplementary Definitions 
Authenticity of data: 
The quality of being genuine, unaltered/altered with traces, and verifiably from a trusted source. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Data authenticity can be secured through the use of public key infrastructure (PKI) and digital 
certificates. ","Verify that every method to add or manipulate data can only be used with sufficient authenti­
cation of the user. 
Also ensure that data is genuine, unaltered or traceably altered, and originates from a trusted 
source 
160 ","-Wireshark - can be used to analyze network traffic for verifying data integrity, checking if data 
exchanges include valid digital signatures and certificates. 
- PKI Compliance Audit Tools - compliance tools like X.509 certificate validators can be used to 
check if the system correctly implements PKI for authenticity verification. 
- Scapy - can be used to craft and send inauthentic or tampered data packets, testing whether 
the system correctly detects and rejects altered data. ","- 10 Data and data governance 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality management system (QMS) 
161 "
ITSEC-12,Authorization and access control,Always relevant. ,"An access control concept for the AI System should be created, defining roles, authorizations 
and responsibilities along the MLOps process and its feedback loops by logging and auditing all 
activities. ",Test-based ,"Supplementary Definitions 
Access control concept: 
A framework that defines how access to resources, data, or systems is managed and restricted 
based on user roles, permissions, and security policies. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Access control mechanisms can include least privilege access controls or defence-in-depth mea­
sures. ","Verify that an access control concept is in place. The AI system must withstand unauthorised ac­
cess attempts using simulated attack scenarios. Ensure that least-privilege access controls and 
defence-in-depth measures effectively restrict unauthorised access by attempting to access re­
sources and data with different privilege levels. 
162 ","- OpenSCAP - can be used to audit and assess compliance with access control policies, ensuring 
that security configurations follow defined standards. 
- Metasploit Framework - can be used to simulate unauthorized access attempts and assess how 
well the system enforces access restrictions. 
- BloodHound - can be used to analyze permission structures and identify privilege escalation 
paths in the AI system’s access control. ","- 12 Record-keeping 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
- 19 Automatically generated logs 
163 
Monitoring 
Contents 
164 "
MON-01,Performance development & operation,Always relevant. ,"The performance of the system shall be continuouslymonitored and documented with [KeyPer­
formance Indicators]. Deviations from defined performance requirements shall be made trans­
parent. ",Test-based ,"Supplementary Definitions 
Performance: 
Indicator that shows how effectively and efficiently an AI system accomplishes its tasks. 
KPIs (Key Performance Indicators): 
Metrics to evaluate the performance. 
Exemplary [parameters] 
[key performance indicators]:, e.g. F1 Score, Mean Squared Error (MSE), response times, resource 
consumption. 
Additional guidance regarding the requirement 
The system shall demonstrate the same KPIs in development respectively testing and validation 
and after the deployment in its operating state. 
165 ","Verify that appropriate measure to continuously monitor and document the system perfor­
mance are in place (exeplary tools are given in the supportive guidance). Verify the monitored 
variables and the defined KPIs and test the mechanims to detect (and document) performance 
deviations from the defined performance requirements. ","- Google Lighthouse Performance Auditor - can be used to verify if system response times meet 
defined KPI thresholds and whether Performance degrades under load. 
- Apache JMeter - can be used to validate if system Performance remains consistent across dif­
ferent loads and if deviations from expected KPIs are detected. 
- ML Benchmark Tools - benchmarking Tools can be used to compare AI model Performance 
against predefined KPIs and industry standards. ","- 11 Technical documentation 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
- 72 Post-market monitoring by providers for high-risk AI systems 
166 "
MON-02,Self-error detection,Always relevant. ,"The system should have [mechanisms] to allow self-detection of errors and fail-safe methods to 
mitigate entire system failures. ",Test-based ,"Supplementary Definitions 
Self-error detection: 
Criteria and mechanisms for automatic error detection. 
Exemplary [parameters] 
[mechanisms]: e.g., Internal consistency checks, anomaly detection algorithms. 
Additional guidance regarding the requirement 
Entire system failures are where the AI system becomes completely non-functional or unable 
to perform its intended tasks due to Hardware Failures, Software Failures, Security Failures, Net­
work Failures or Data Failures ","Verify if the AI system has mechanisms for self-detection of errors and fail-safe methods, e.g. by 
actively triggering fault conditions, analyzing the system’s response, testing for internal consis­
tency or anomalies. 
167 ","- Chaos Monkey - controlled failures can be injected into the system, such as network disrup­
tions or service crashes, to verify whether self-error detection mechanisms identify and mitigate 
the issue. 
- Apache JMeter - can be used to validate if system performance remains consistent across dif­
ferent loads. 
- Failure Injection Testing - can be used to simulate infrastructure-level failures and analyze sys­
tem response and recovery strategies. ","- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
168 "
MON-03,Logging,Always relevant. ,"The AI system shall have consistent logging across all components. Policies and instructions 
with technical and organizational safeguards for the logging process shall be documented. ",Document-based ,"Supplementary Definitions 
Consistent logging: 
Systematic recording of events, actions, and decision made by the system. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
The log files should contain at least: 
- Type of request ; 
- Processing times including time stamps and metadata on the user requesting the AI service. 
The log files should be kept for an appropriate amount of time (suggestion: at least 3 months) 
(depending on the system and the amount of data to be logged). 
Contents to log shall be specified: e.g., Input, model (state), output, timestamps, system access. 
Tools which could be used for implementation: 
- Log Analysis and Monitoring Tools to check if the logs include required information and verify 
that logging is consistent: Loggly 
- Log File Integrity Tools to verify that logs are secure, consistent, and meet the technical and 
organizational safeguard: Tripwire 
169 ","Verifythatappropriatemonitoringandloggingcapabilities(tools,storage,etc.) areimplemented 
on a technical and organizational level. Evaluate their effectiveness by targeted test, e.g., by in­
ducing certain events that shall then be verified via the resulting system logs. ",Not applicable. ,"- 11 Technical documentation 
- 12 Record-keeping 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
- 19 Automatically generated logs 
170 "
